"","year","iso3_o","iso3_d","dist","distw_harmonic","contig","comlang_off","comcol","col45","heg_o","heg_d","col_dep_ever","col_dep","gdp_o","gdp_d","pop_o","pop_d","comrelig","eu_o","eu_d","fta_wto","wto_o","wto_d"
"43",1995,"AFG","EGY",3587,3491,0,0,0,0,0,0,0,0,NA,60159246.336,17586.073,61168.396,0.812273979187012,0,0,0,0,1
"44",1995,"AFG","ERI",3697,3593,0,0,0,0,0,0,0,0,NA,578015.616,17586.073,3407.812,NA,0,0,0,0,0
"45",1995,"AFG","ESP",6295,6070,0,0,0,0,0,0,0,0,NA,612939661.312,17586.073,39387.016,0,0,1,0,0,1
"46",1995,"AFG","EST",4239,4199,0,0,0,0,0,0,0,0,NA,4362191.36,17586.073,1436.634,9.92999994195998e-05,0,0,0,0,0
"47",1995,"AFG","ETH",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,17586.073,NA,NA,0,NA,NA,0,NA
"48",1995,"AFG","ETH",4195,4055,0,0,0,0,0,0,0,0,NA,7663994.88,17586.073,57023.518,0.311801999807358,0,0,0,0,0
"49",1995,"AFG","FIN",4259,4243,0,0,0,0,0,0,0,0,NA,134199345.152,17586.073,5107.79,0,0,1,0,0,1
"50",1995,"AFG","FRA",5594,5500,0,0,0,0,0,0,0,0,NA,1609892233.216,17586.073,59540.71,0.029789999127388,0,1,0,0,1
"51",1995,"AFG","GAB",7250,7147,0,0,0,0,0,0,0,0,NA,4958845.44,17586.073,1080.477,0.00794399995356798,0,0,0,0,1
"52",1995,"AFG","GBR",5720,5739,0,0,0,0,0,1,1,0,NA,1235567247.36,17586.073,58019.032,0.0139020001515746,0,1,0,0,1
"53",1995,"AFG","GEO",2268,2184,0,0,0,0,0,0,0,0,NA,2693731.84,17586.073,4734,0.109229996800423,0,0,0,0,0
"54",1995,"AFG","GHA",7776,7697,0,0,0,0,0,0,0,0,NA,6464389.632,17586.073,16760.925,0.155900999903679,0,0,0,0,1
"55",1995,"AFG","GIN",8761,8661,0,0,0,0,0,0,0,0,NA,3693753.344,17586.073,7837.173,0.685169994831085,0,0,0,0,1
"56",1995,"AFG","GMB",8802,8705,0,0,0,0,0,0,0,0,NA,785999.872,17586.073,1065.746,0.842064023017883,0,0,0,0,0
"57",1995,"AFG","GNB",8800,8702,0,0,0,0,0,0,0,0,NA,253966.912,17586.073,1139.667,0.380318999290466,0,0,0,0,1
"58",1995,"AFG","GNQ",7122,7019,0,0,0,0,0,0,0,0,NA,141853.36,17586.073,441.829,0.00496499985456467,0,0,0,0,0
"59",1995,"AFG","GRC",4060,3976,0,0,0,0,0,0,0,0,NA,137383436.288,17586.073,10634.385,0.014894999563694,0,1,0,0,1
"60",1995,"AFG","GTM",14161,14133,0,0,0,0,0,0,0,0,NA,14656917.504,17586.073,9983.861,0,0,0,0,0,1
"61",1995,"AFG","HKG",4574,4663,0,0,0,0,0,0,0,0,NA,144652910.592,17586.073,6156.1,0.00496499985456467,0,0,0,0,1
"62",1995,"AFG","HND",14077,14005,0,0,0,0,0,0,0,0,NA,3911053.056,17586.073,5591.935,0.000992999994195998,0,0,0,0,1
"63",1995,"AFG","HRV",4610,4535,0,0,0,0,0,0,0,0,NA,22387562.496,17586.073,4669,0.0119160003960133,0,0,0,0,0
"64",1995,"AFG","HTI",12866,12813,0,0,0,0,0,0,0,0,NA,2695499.776,17586.073,7838.241,0,0,0,0,0,0
"65",1995,"AFG","HUN",4371,4299,0,0,0,0,0,0,0,0,NA,46166298.624,17586.073,10328.965,0,0,0,0,0,1
"66",1995,"AFG","IDN",5999,6030,0,0,0,0,0,0,0,0,NA,NA,17586.073,194979.249,0.43096199631691,0,0,0,0,1
"67",1995,"AFG","IDN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,17586.073,NA,NA,0,NA,NA,0,NA
"68",1995,"AFG","IND",1751,1653,0,0,0,0,0,0,0,0,NA,366599634.944,17586.073,955804.382,0.115188002586365,0,0,0,0,1
"69",1995,"AFG","IRL",6091,6034,0,0,0,0,0,0,0,0,NA,69070782.464,17586.073,3608.841,0,0,1,0,0,1
"70",1995,"AFG","IRN",1621,1414,1,1,0,0,0,0,0,0,NA,90829496.32,17586.073,60468.353,0.972146987915039,0,0,0,0,0
"71",1995,"AFG","IRQ",2288,2154,0,0,0,0,0,0,0,0,NA,NA,17586.073,20363.138,0.951294004917145,0,0,0,0,0
"72",1995,"AFG","ISR",3199,3084,0,0,0,0,0,0,0,0,NA,99319562.24,17586.073,5545,0.0794399976730347,0,0,0,0,1
"73",1995,"AFG","ITA",4941,4903,0,0,0,0,0,0,0,0,NA,1171213647.872,17586.073,56844.303,0.000992999994195998,0,1,0,0,1
"74",1995,"AFG","JAM",13173,13126,0,0,0,0,0,0,0,0,NA,5813471.744,17586.073,2480,0.000992999994195998,0,0,0,0,1
"75",1995,"AFG","JOR",3096,2985,0,0,0,0,0,0,0,0,NA,6727446.528,17586.073,4195,0.923489987850189,0,0,0,0,0
"76",1995,"AFG","JPN",6282,6162,0,0,0,0,0,0,0,0,NA,5333925756.928,17586.073,125439.003,0,0,0,0,0,1
"77",1995,"AFG","KAZ",1177,1411,0,0,0,0,0,0,0,0,NA,20374306.816,17586.073,15815.626,0.46671000123024,0,0,0,0,0
"78",1995,"AFG","KEN",5206,5129,0,0,0,0,0,0,0,0,NA,9046320.128,17586.073,27418.077,0.059579998254776,0,0,0,0,1
"79",1995,"AFG","KGZ",1038,1089,0,0,0,0,0,0,0,0,NA,1661018.496,17586.073,4560.4,0.695100009441376,0,0,0,0,0
"80",1995,"AFG","KHM",4420,4496,0,0,0,0,0,0,0,0,NA,3441205.504,17586.073,10769.198,0.0238320007920265,0,0,0,0,0
