country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Algeria,1652.9613847127312,1882.0672367020184,2263.6764455686543,2394.126106907935,2526.6862064183038,2931.8895954415807,3208.9867537617847,3279.209632717683,3208.536026846801,3649.5360217934754,3820.6454921355453,3916.3558175576245,4594.953793395914,5353.754726208913,5814.7351221239005,6153.7564632831145,8807.051661171352,9267.59977437198,10010.515043819347,11528.814960795356,12061.301802186554,12097.301650708918,11456.741929940246,10987.573612936829,11853.72880159638,11577.302065989732,10794.201019648395,10441.084809688,18263.96796826213,20423.216124981845
Libya,NA,NA,543.74345100102,613.3444054334307,473.58865661044166,506.8775673870479,495.8855959395897,637.3086239474054,793.2349600611385,1035.8375961572235,1020.3819257559745,897.7928318134724,844.9736328425697,1277.0271250228932,NA,NA,NA,2770.7336247882986,3612.792439253723,3342.7597961871115,NA,NA,NA,NA,NA,NA,NA,1254.746072763384,1573.6827773146888,NA
Morocco,2038.204040553588,2032.759897104164,2128.9514265952453,2154.338715159323,1523.435829740359,1677.5906529169965,2499.1560808156078,2377.7935182447695,2518.6634997992214,2447.9784314990934,2540.4133756031056,2564.6661445894265,2641.1839776326483,2945.9815579204987,3146.517306320961,3367.440089256318,3391.989127997146,3635.9463091546904,4153.868939895227,4118.755248680564,3802.7463174659747,3825.918002195209,3938.458969447896,3965.9697792280867,4049.1071141569696,5190.109540445423,5341.867567259612,5308.917029176563,5184.928399542389,5318.16614824445
Tunisia,339.9871893562057,391.0481942751126,386.2412032030554,393.9195385222371,389.95364990516913,407.4412742944351,423.4569924119452,419.23994933919647,436.26021341429157,444.1472043280053,477.81390175500275,504.0096952290333,465.0051507958077,505.60896627803373,521.4439067417045,540.9878479179323,645.3344539523546,651.8674273552142,717.6817311322008,857.4269020348798,1022.9311946508258,1089.1961518920539,1011.1538486606858,1015.2161432851319,1248.4627375618372,1307.3326012844027,1312.3728527545404,1253.638778119926,1208.204189729942,1229.9259539325608
Angola,1079.7152003965398,808.8225511399106,1296.3241722297712,399.83844596221064,5109.934315634216,2367.033259932854,1426.3250683129356,1462.0529612693817,1930.7493517491991,1837.7647134052738,2603.7820414081198,3058.509263838619,2682.53689888424,3631.41065684268,3533.2664539697057,3780.7937817536954,3540.074932745346,3715.3583090065085,5074.54181489819,5415.15644221607,3187.618911010112,2546.6551333017155,2203.3624745745283,1816.6123001879628,1659.9252976623459,1453.0302840543466,1238.1327827799907,1240.2989510786344,1247.8463450851725,914.142476799792
Benin,NA,NA,NA,NA,30.66182035113127,27.653914373793075,24.767424293737086,45.56121157733318,49.73664712807549,54.205156306464445,54.962532490038015,54.94260018830078,NA,59.528798853382376,NA,NA,NA,72.54866366671645,76.85879663212961,83.62536793517799,97.57104101270032,86.32614905903239,122.05616358285104,89.54727941244269,71.79211079049621,72.1615732671137,92.74751473511246,116.18425311897016,149.03528800474317,151.0237844857233
Botswana,224.4888598435636,207.2144428038583,239.0235162235585,292.5987529238644,278.3342587476197,307.9919318052716,376.78861462135905,401.5911489051385,387.4020758463742,358.29120778276666,324.6828515202343,319.6446955889924,352.5216765336759,377.3021752534513,363.57943708674094,340.89172223909765,329.66067261658395,307.2961803449155,299.9191152733308,346.9315989956973,420.82746067826093,590.6926375537543,551.9858618625848,501.8241990653689,531.7407736431456,537.969022682411,523.115516665708,499.26984607256594,485.56787004692586,555.8060930529796
Burkina Faso,60.02611623380983,58.42108603935542,67.61508051578548,66.63140924471715,74.29159210976337,75.67810348079018,74.5544301843976,79.99333485160649,78.13341147690659,92.2753932272841,97.33317235411721,92.74292203582874,126.47470768063084,115.88397985830464,129.60544703442142,133.08204043347075,138.4981820123227,153.56422233915734,166.23346188653505,177.86412505894324,176.38661209349135,177.87809128715372,220.91347372097908,329.644447715007,420.4256347786308,433.00779903041325,482.5253420288919,582.7394397650302,827.15301886182306,1002.3454328566442
Burundi,74.67413604292942,86.52690507058105,93.37278449428634,100.13028606926254,104.95309594917916,90.26472582309081,119.68383133937861,114.75231118897584,116.61154535155804,113.30211041625034,108.54996597831565,90.66929979934443,91.08828972426271,75.99473747624799,NA,NA,NA,81.53601331114307,84.04924291835827,81.80168192006973,83.81867506491245,83.86889752733983,72.26804421664652,78.78145636778564,106.40200316699752,82.05705515300167,79.15189150045619,102.12172931970478,145.1680216511481,160.43978316888985
Cameroon,197.85730607125933,200.89124113775284,222.06270550983982,251.5226496502714,271.6803043999357,263.87715322502595,262.8642434625806,284.74418532205476,305.4407813772849,324.9001475557249,320.837599134339,348.47021679095883,365.4722187902821,378.6837975992664,383.7941373855025,409.9867122585481,372.4042148405806,400.0267615158468,420.383175270758,422.2620594051869,433.4677366416234,471.75301827699604,486.882711417571,482.33327274343725,487.6084749540996,435.3871240914036,462.54603639917605,460.0094197334916,456.5690918880268,512.1739138366673
Cape Verde,9.228074501606303,6.426560369471851,6.424586906460381,7.136890853723115,7.996793093445694,12.88562492292584,8.75513744118852,7.963288631878909,8.394236263473932,8.677162377318268,9.470378198443171,8.787450163345591,8.772598129525624,10.397103708402275,8.478591148249206,8.542539482940452,9.225631455373074,9.713116101431593,9.335343074270835,9.58726734282476,10.169686441251768,11.793940253958265,10.601501253718867,11.40397065335778,10.795923441063852,12.221818840793292,11.497935181797624,10.949159295176514,14.353938320532245,16.518501717944265
