"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","2.04316354899761","2.46131429257704","2.07409911936774","2.34173361591363","2.0977944791178","2.09931206430219","2.04114868656631","2.17421442320068","2.15361764215202","2.30964214820363","2.6754267784703","3.15885807254386","3.65069734544286","3.99362807563633","4.1574200525925","3.9588006672448","3.74455980648813","3.84655032678295","3.96841111567487","3.96865851542825","3.97630235576162","3.67560833407171","3.90056447396248","4.89746085263249","5.19933790608839","5.20493749185803","4.7820880512231","3.73102880152792","2.94239984309523","3.09431684099748","2.61774239611976","2.13954385603808","1.8335315388416","1.82560749143799","1.82718515113402","2.2778417305422","2.0031204600649","1.95973493279941","2.02379773391104","1.7704859370969","1.86380928310123","1.67598006891632","1.7043050108225","1.66634775242803","1.92932738341005","1.91409184126134","1.53515396907838","1.50108837009606","1.53381254257511","1.72958309925421","1.75907480341056","1.53515423767815","1.27446816480972","1.28362151041905","1.12006061471798","1.07413835492652","1.12508237141778","1.02920729103041","1.00820222661275","0.999401723129896","",
"Afghanistan","AFG","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","1.62960609911055","","","1.86891025641026","1.61082474226804","1.72206572769953","2.04608695652174","2.0114747930775","","","","","","","","","","","","","","","","","","","","","","","","","","","2.43125378739118","1.99206569856085","1.89623399634252","2.56626735198569","2.335545701939","2.08741255278385","1.94583569418812","1.82134545354632","1.17541612009987","1.07694976762403","1.29801287790022","0.994575822723645","0.956772140958855","0.945226799939516","1.00674585570556","1.17096838242129","1.35885692738929","1.827933856217","","","",
"Africa Western and Central","AFW","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","1.31471581400447","1.31333102644613","1.44184541418655","1.46835895392531","1.36672116191477","","5.39674585044925","6.26760960626426","3.94045401695422","3.10481139581203","3.79475660855557","3.74991932288916","3.33007464144611","5.56163313705685","4.30230005735399","4.27198178987283","3.78892376524712","3.20114329850032","2.48896040473271","2.49668674255503","2.10650175231139","2.09310783004186","1.60064516191187","1.54902308548173","1.51954780566016","1.23577400287411","1.29056489263918","1.13392150731375","1.15310544787073","1.13753186195923","1.10982343118668","1.24967885390759","0.961757311788082","0.641819858065922","0.538495767324882","0.560893148000129","0.646377766348563","1.00227801912213","0.840602896847792","1.05517749123566","1.12614522085576","0.922559930503376","0.852105880228095","0.683904207239014","0.649396618611437","0.704031008026973","0.828300760477899","0.921355266707821","0.833069739744076","0.805995102948894","0.714249107119968","0.767490964100611","0.732370015599477","0.678454571580942","0.822223218197289","0.819669482819242","0.845913326449275","0.7972673585003","0.943009217676817","1.16304544961752","0.991708851666325","1.17739892147027","",
"Angola","AGO","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","1.715E-05","1.73E-05","22.25","21.9805","19.4323333333333","17.4636666666667","7.1025","5.68283054258138","17.5225890755741","5.70928069083604","4.70739276826233","2.44784815671705","5.97226820719497","2.64201188106298","17.334692213616","6.39260315427404","4.52435381521461","2.86993244512575","3.76147907354734","3.47118018672779","3.69224094698531","3.76149530543532","3.11405449295742","3.57312038062707","4.70961004832072","4.1775845224338","3.25566035129376","3.23665949921649","4.45523942155109","4.69845451564414","3.10542629308278","2.73333494465123","2.50798280550579","1.95578680987962","1.73907233864521","1.73699395811082","1.30099992786185","1.31681953222365","1.33252915998752","",
"Albania","ALB","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","6.05202163275818","5.84831705344366","5.65159574468085","5.44128198995456","6.11750454270139","5.65142619937141","5.62618650405569","5.86222892264873","5.61731662843362","5.16761272357288","5.8883007196812","5.79127042184833","4.6708878237371","3.19945106674965","2.54781906037648","2.05358735905793","1.37902962734156","1.28308078036268","1.23824256064749","1.24921009885957","1.24636024189216","1.30929137475594","1.32003449433204","1.33684292419802","1.38115794211088","1.35000497056322","1.56776908873068","1.8207653435572","1.98486885667765","1.5172171395597","1.55859189302349","1.52826633776627","1.48708257655216","1.40898210141146","1.34651599128914","1.16230386432234","1.10358100880452","1.10915100558884","1.16054478505068","1.28080596201472","1.29583570269739","1.24298808396067","1.21098343566728","1.74399167669186","",
"Andorra","AND","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","5.05386930601084","5.83584841416164","6.23719932985615","6.55792429391589","6.66744568233948","6.80070915635738","7.55704936414573","8.03799525276901","7.75442296503066","7.13935845661278","7.59370840202151","","","","9.8719709197613","9.87938496620202","8.99694955701823","8.01756971875207","9.21033314550507","11.1500981390694","11.0478387279921","11.5402769006868","10.3870131100503","","8.56545408400835","8.0612257354568","","","10.7531411771274","8.60775617200932","7.85171463850327","7.40876728062032","6.60682464182388","6.02637988389916","6.577462322475","7.47289031219153","6.42331478436071","6.38968187013698","6.33579744819844","5.822359579189","5.39754052278081","5.03228607088157","4.56725110577827","4.31457124374683","4.45355430182956","4.13325857122496","5.22577943213735","4.9705545213056","4.86296660777286","4.94896027436011","5.70034099681473","6.30909557021914","7.3379178875294","6.04420885014447","6.25600168975768","5.74605315525966","5.26858156043971","5.59942444130813","4.96734253791711","4.54584186312826","5.08967778186231","",
"United Arab Emirates","ARE","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.75906148063517","8.62972120984848","7.6695379976034","8.3237222448449","5.61210552340521","4.87553180534483","4.69230626722928","4.6114776396626","3.65647067832081","3.22597447304637","3.28052136989454","3.6680226492701","5.45710777311036","6.03859220826788","5.46631452753061","5.07555649376756","6.03468625064444","5.64365135247024","","","","","","","","","","",
"Argentina","ARG","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","1.55","2.14","2.66","1.68","1.15","1.07","1.168","1.4","1.68571428571429","1.9375","1.87777777777778","1.80769230769231","1.82380952380952","1.84857142857143","1.65918367346939","2.04195804195804","3.78129117259552","4.00860009555662","4.71914405808177","4.67335625570135","3.09895833333333","3.46534653465347","2.70455793520044","2.73881278538813","2.16203914428767","2.29971724787936","2.31367874921125","2.2843868799904","2.12493922313663","1.88036559239223","1.45090921225786","1.50692655529635","1.42122223348777","1.42280290057293","1.45703853325047","1.47307310721151","1.24122726437626","1.14013911131295","1.13631802186333","1.22035954754993","1.14882267666887","1.18423354187058","1.09188047859748","1.06089505704838","0.883295358833529","0.847154783885961","0.788233877461469","0.792548175031362","0.762756475390461","0.886508576686385","0.814878118220695","0.764287095310235","0.784824735364742","0.83773642721392","0.878100924236765","0.850128597463815","0.809245362717563","0.84775481125944","0.732300347538541","0.699696134379197","0.734111593948744","0.630055381810861","0.686383404283536","0.472747196738259","",
